timestamp,x,y,z
2012786.0,-15.190001,-2.905,24.815
2012790.9,3.675,23.66,15.68
2012795.8,18.55,36.96,7.63
2012800.6,33.355,43.05,3.5
2012805.5,45.325,48.265,3.535
2012810.4,35.455,53.445,5.39
2012815.2,16.555,57.61,9.38
2012820.1,11.34,60.795002,14.63
2012825.0,15.4,60.06,20.09
2012829.9,12.635,59.5,25.445
2012834.8,-0.07,59.325,27.51
2012839.6,-16.1,58.975,27.545
2012844.5,-29.47,61.88,27.405
2012849.4,-36.785,68.46,25.9
2012854.2,-38.045002,74.97,24.710001
2012859.1,-40.18,80.605,22.960001
2012864.0,-39.97,84.175,20.79
2012868.9,-40.39,85.505,18.515
2012873.8,-41.965,83.93,17.185
2012878.6,-40.775,82.705,14.805
2012883.5,-38.465,80.08,12.88
2012888.4,-40.215,78.19,11.725
2012893.2,-43.75,77.525,12.3550005
2012898.1,-47.81,76.79,14.1050005
2012903.0,-47.18,74.935,15.75
2012907.9,-37.73,70.56,16.03
2012912.8,-6.545,63.91,15.435
2012917.6,3.045,56.14,14.63
2012922.5,-10.885,49.420002,13.58
2012927.4,-22.785,44.345,13.02
2012932.2,-25.62,41.055,12.635
2012937.1,-23.73,38.185,12.215
2012942.0,-22.68,34.965,11.795
2012946.9,-23.52,32.375,11.13
2012951.8,-23.835001,31.15,10.185
2012956.6,-22.47,30.765,8.505
2012961.5,-20.195,30.275,6.125
2012966.4,-15.82,29.435,2.8700001
2012971.2,-8.8550005,27.44,-1.33
2012976.1,-2.45,24.045,-5.95
2012981.0,2.205,20.58,-10.675
2012985.9,5.495,16.275,-14.9800005
2012990.8,7.21,10.815,-18.48
2012995.6,9.625,5.67,-21.49
2013000.5,13.615,-0.315,-23.66
2013005.4,16.485,-8.365,-24.745
2013010.2,18.935,-17.185,-24.885
2013015.1,21.945,-24.605,-24.185
2013019.0,24.08,-30.31,-23.905
2013023.8,22.015,-35.665,-24.5
2013028.5,16.8,-38.255,-25.97
2013033.2,15.68,-36.015,-27.65
2013038.0,20.965,-31.36,-29.12
2013042.8,32.27,-26.39,-29.785
2013047.5,44.835,-21.945,-30.31
2013052.2,47.95,-16.66,-31.535
2013058.0,40.145,-9.94,-33.39
2013062.9,29.82,-4.795,-35.56
2013067.8,24.15,-3.395,-36.75
2013072.6,21.805,-3.78,-36.855
2013077.5,22.575,-2.695,-36.26
2013082.4,35.245,1.855,-36.645
2013087.2,54.705,6.3,-37.52
2013092.1,65.66,5.355,-37.415
2013097.0,63.98,-0.385,-36.82
2013101.9,104.3,-6.405,-35.07
2013106.8,116.55,-17.43,-31.955
2013111.6,119.7,-24.395,-28.105
2013116.5,139.475,-29.575,-23.24
2013121.4,119.455,-32.235,-18.235
2013126.2,75.565,-23.17,-17.325
2013131.1,60.795002,3.71,-20.86
2013136.0,68.95,34.685,-27.055
2013140.9,61.670002,50.645,-31.255001
2013145.8,41.965,44.345,-32.2
2013150.6,33.915,23.24,-30.135
2013155.5,30.485,1.295,-23.555
2013160.4,35.91,-11.515,-17.64
2013165.2,39.13,-20.615,-11.13
2013170.1,30.065,-26.635,-6.23
2013175.0,17.115,-32.305,-4.41
2013179.9,15.68,-41.265,-6.195
2013184.8,21.49,-55.895,-8.645
2013189.6,21.98,-68.39,-10.255
2013194.5,12.74,-77.07,-11.27
2013199.4,10.115,-85.155,-11.9
2013204.2,-9.59,-91.840004,-10.115
2013209.1,-21.385,-96.25,-8.12
2013213.0,-33.355,-99.155,-5.845
2013217.8,-47.845,-99.33,-3.08
2013222.5,-58.66,-98.315,-0.7
2013227.2,-63.28,-99.295,2.555
2013232.0,-60.97,-101.5,2.8700001
2013236.8,-58.275,-106.05,3.395
2013241.5,-57.785,-109.69,4.27
2013246.2,-64.19,-108.85,4.515
2013252.0,-71.33,-104.335,4.48
2013256.9,-74.41,-98.840004,3.395
2013261.8,-77.35,-91.525,1.015
2013266.6,-83.44,-83.93,-0.875
2013271.5,-90.72,-78.54,-2.24
2013276.4,-93.1,-74.62,-1.365
2013281.2,-94.185,-70.63,0.77
2013286.1,-90.895,-65.94,3.045
2013291.0,-97.02,-61.04,4.48
2013295.9,-106.19,-58.1,5.495
2013300.8,-103.005,-55.195,5.775
2013305.6,-93.38,-52.15,5.705
2013310.5,-83.125,-48.055,6.195
2013315.4,-76.37,-44.38,7.245
2013320.2,-68.18,-39.935,8.33
2013325.1,-49.63,-35.28,9.975
2013330.0,-36.015,-30.52,12.18
2013334.9,-33.74,-25.48,15.015
2013339.8,-31.535,-20.195,18.69
2013344.6,-25.655,-16.065,23.03
2013349.5,-19.145,-12.25,26.880001
2013354.4,-13.3,-8.715,29.995
2013359.2,-9.555,-5.495,32.48
2013364.1,-5.25,-0.385,33.81
2013369.0,0.49,6.6150002,33.775
2013373.9,5.285,14.42,32.69
2013378.8,10.22,22.505,31.675
2013383.6,13.02,29.015,31.115
2013388.5,11.4800005,35.0,30.135
2013393.4,17.745,39.62,29.645
2013398.2,29.505001,41.23,29.995
2013403.1,32.69,39.585,30.45
2013408.0,27.545,35.49,31.08
2013412.9,45.885,30.905,31.5
2013417.8,44.94,22.225,31.5
2013422.6,40.04,13.2300005,31.08
2013427.5,37.065,5.25,30.275
2013432.4,37.345,-1.295,28.595
2013437.2,34.58,-6.37,27.16
2013442.1,30.24,-10.115,24.745
2013447.0,32.27,-8.89,22.785
2013451.9,51.975,-2.485,21.035
2013456.8,75.845,10.6050005,18.06
2013461.6,91.385,26.53,14.9800005
2013466.5,93.17,41.335,13.3
2013471.4,92.54,53.025,14.875
2013476.2,106.785,66.85,20.65
2013481.1,134.05,77.105,28.875
2013486.0,173.355,76.44,34.79
2013490.9,163.59,69.44,29.61
2013495.8,115.955,45.185,17.255
2013500.6,16.94,17.36,7.665
2013505.5,-65.835,-4.165,9.45
2013510.4,-65.135,-12.46,18.97
2013515.2,7.315,-6.545,27.545
2013520.1,52.29,9.695,28.35
2013525.0,58.415,28.105,26.215
2013529.9,54.145,46.025,23.31
2013534.8,42.91,64.575,18.27
2013539.6,40.25,80.92,14.28
2013544.5,43.155,90.65,12.95
2013549.4,38.605,95.69,12.25
2013554.2,22.855,95.13,13.02
2013559.1,16.66,92.05,13.335
2013564.0,8.505,87.325,13.16
2013568.9,-3.115,86.8,10.85
2013573.8,-15.05,92.645,6.65
2013578.6,-27.44,101.465004,0.42000002
2013583.5,-27.09,110.635,-5.46
2013588.4,-22.085001,117.81,-10.6050005
2013593.2,-25.375,120.12,-12.915
2013598.1,-36.925,121.065,-13.65
2013602.0,-49.595,119.245,-12.705
2013606.8,-54.285,114.485,-11.305
2013611.5,-58.45,109.235,-8.4
2013616.2,-71.085,103.985,-4.935
2013621.0,-65.275,98.35,-2.205
2013625.8,-138.53,97.58,-0.49
2013630.5,-59.08,87.99,1.26
2013635.2,-51.8,80.36,0.875
2013641.0,-61.53,74.9,-0.35
2013645.9,-63.665,67.025,-0.91
2013650.8,-69.3,58.59,-1.155
2013655.6,-73.08,49.875,-0.84000003
2013660.5,-75.81,41.755,-0.07
2013665.4,-76.755,33.355,1.015
2013670.2,-68.46,25.445,2.24
2013675.1,-43.26,19.005,2.765
2013680.0,-32.375,15.4,2.485
2013684.9,-39.305,15.61,1.575
2013689.8,-34.405,16.31,0.315
2013694.6,-21.245,17.675,-1.82
2013699.5,-16.415,19.705,-4.76
2013704.4,-14.665,21.315,-8.575
2013709.2,-9.065,22.295,-12.495
2013714.1,-2.625,22.785,-16.38
2013719.0,0.49,21.105,-20.16
2013723.9,0.595,15.82,-23.345
2013728.8,2.065,9.415,-25.55
2013733.6,5.425,3.92,-26.6
2013738.5,4.41,-1.89,-26.425
2013743.4,1.12,-8.4,-25.725
2013748.2,2.24,-14.875,-24.815
2013753.1,5.565,-20.44,-24.255
2013758.0,5.565,-24.115,-24.045
2013762.9,3.78,-25.725,-24.36
2013767.8,6.125,-25.41,-24.745
2013772.6,10.64,-22.89,-25.095
2013777.5,16.555,-19.460001,-25.795
2013782.4,24.605,-15.995,-26.495
2013787.2,29.855,-11.865,-27.335001
2013792.1,30.625,-7.77,-28.245
2013796.0,28.105,-4.48,-28.875
2013800.8,23.275,-3.22,-28.735
2013805.5,20.125,-4.76,-27.58
2013810.2,27.685,-7.77,-26.215
2013815.0,47.425,-11.4800005,-25.585001
2013819.8,64.26,-17.36,-25.095
2013824.5,86.695,-26.81,-23.485
2013829.2,92.365,-36.4,-20.86
2013835.0,98.105,-40.11,-18.375
2013839.9,119.665,-38.675,-16.695
2013844.8,140.98,-34.93,-16.24
2013849.6,111.545,-31.29,-18.515
2013854.5,87.36,-26.145,-23.8
2013859.4,89.81,-18.9,-29.225
2013864.2,83.685,-11.41,-31.36
2013869.1,64.435,-4.13,-33.39
2013874.0,55.335,-1.47,-36.12
2013878.9,67.865,-4.83,-39.585
2013883.8,81.97,-12.075,-40.53
2013888.6,82.145,-20.23,-36.295002
2013893.5,76.125,-29.295,-31.22
2013898.4,70.28,-35.420002,-27.44
2013903.2,63.91,-35.420002,-26.11
2013908.1,51.1,-37.205,-25.865
